"Survey_Group2011","Survey_Code2011","Recipient_Code","Visa_Code_DG","MR_Code_DG","MR_Field_DG","Empl_Matrix_Name_DG","Emp_Status_Name_DG","Postdoctorate_Name_DG","Degree_Institution","Degree_Department","Citizen_Name_DG","DG_No_Forms","City","State","Zip","Type_of_Degree_DG","Surgroup2011","Recipient_Number","Sex_Code_DG","Empl_Matrix_Code_OLD","Postdoctorate_Code_DG","Emp_Status_Code_DG","Left_US_DG","Empl_Position_Title","Empl_Dept_Div","Empl_Inst_Org","Empl_City","Empl_State","Empl_Zip","Empl_Country","Surcode2011","Serial Number_DG","DG_Forms_Current_Yr","Surgroup","Survey_Code","Survey_Group","Empl_Matrix_Name","Empl_Matrix_Code","Granting Dept Serial Number","Surcode","Left_US_Code_DG","Date_Conferred_Code","survey_year","survey_type"
11.0,CACL,"110CACL3312",2.0,99.0,"12-Oth",Group I Public,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,China,33.0,Los Angeles,CA,"90095",PHD,"11",33.0,1.0,11.0,1.0,1.0,No,Post-Doc,Department of Mathematics,University of Wisconsin Madison,Madison,WI,"53706",United States,"11CACL",20124383,33.0,MPu_L,CACL,110.0,Math Public Large,110.0,1187.0,"110CACL",2.0,12.0,2012,DGData
20.0,CACR,"130CACR0212",888.0,53.0,"3-Geom",Two-year,Full-time,No,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",2.0,2.0,80.0,2.0,1.0,No,Assistant Professor,Department of Mathematics,Centralia College,Centralia,WA,"98531",,"20CACR",20123435,13.0,MPu_S,CACR,130.0,Two-year,900.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR0312",888.0,53.0,"3-Geom",Bachelors,Full-time,No,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",3.0,1.0,70.0,2.0,1.0,No,Assistant Professor,Department of Mathematics,Doane College,Crete,NE,"68333",United States,"20CACR",20120396,13.0,MPu_S,CACR,130.0,Bachelors,510.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACG,"140CACG0612",2.0,92.0,"7-Appl",Unknown (Non-US),Unknown,Unknown,Claremont Graduate University,School of Mathematical Sciences,Mexico,7.0,Claremont,CA,"91711",PHD,"20",6.0,2.0,200.0,999.0,999.0,Unknown,,,,,,,,"20CACG",20121113,7.0,MPu_L,CACG,140.0,Unknown (Non-US),995.0,1257.0,"140CACG",999.0,6.0,2012,DGData
20.0,CACR,"130CACR0512",888.0,62.0,"6-Stat",Bachelors,Part-time,No,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",5.0,1.0,70.0,2.0,2.0,No,Visiting Lecturer,Department of Mathematics,Scripps College,Claremont,CA,"91711",,"20CACR",20122973,13.0,MPu_S,CACR,130.0,Bachelors,510.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR0612",2.0,14.0,"1-Alg",Unknown (US),Unknown,Unknown,"University of California, Riverside",Department of Mathematics,South Korea,13.0,Riverside,CA,"92521",PHD,"20",6.0,2.0,190.0,999.0,999.0,No,,,,,,,,"20CACR",20122235,13.0,MPu_S,CACR,130.0,Unknown (US),985.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR0912",888.0,13.0,"1-Alg",Still Seeking (US),Still seeking,Not Applicable,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",9.0,2.0,180.0,888.0,3.0,No,,,,,,,,"20CACR",20123156,13.0,MPu_S,CACR,130.0,Still Seeking (US),975.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR1012",888.0,53.0,"3-Geom",Unknown (US),Unknown,Unknown,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",10.0,2.0,190.0,999.0,999.0,No,,,,,,,,"20CACR",20120801,13.0,MPu_S,CACR,130.0,Unknown (US),985.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR1112",888.0,53.0,"3-Geom",Bachelors,Full-time,No,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",11.0,2.0,70.0,2.0,1.0,No,Adjunct Faculty - Mathematics,Department of Mathematics,"Concordia University, Irvine",Irvine,CA,"92612",,"20CACR",20122853,13.0,MPu_S,CACR,130.0,Bachelors,510.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR1212",888.0,32.0,"2-Anal",Bachelors,Full-time,No,"University of California, Riverside",Department of Mathematics,United States,13.0,Riverside,CA,"92521",PHD,"20",12.0,2.0,70.0,2.0,1.0,No,Assistant Professor,Department of Natural and Mathematical Sciences,California Baptist University,Riverside,CA,"92521",,"20CACR",20120483,13.0,MPu_S,CACR,130.0,Bachelors,510.0,1168.0,"130CACR",2.0,12.0,2012,DGData
20.0,CACR,"130CACR1312",1.0,53.0,"3-Geom",Two-year,Full-time,No,"University of California, Riverside",Department of Mathematics,Mexico,13.0,Riverside,CA,"92521",PHD,"20",13.0,2.0,80.0,2.0,1.0,No,Professor,Department of Arts and Science,Edison State College,Fort Myers,FL,"33919",,"20CACR",20122088,13.0,MPu_S,CACR,130.0,Two-year,900.0,1168.0,"130CACR",2.0,12.0,2012,DGData
